text,emotion
"I am so happy today",happy
"This is the worst day ever",sad
"I am furious about what happened",angry
"I feel scared when I walk alone",fear
"Wow, I did not expect that",surprise
"Just another regular day",neutral
"I love spending time with my friends",happy
"I can't stop crying",sad
"He yelled at me angrily",angry
"The dark alley makes me nervous",fear
"I got an unexpected gift",surprise
"Life is beautiful",happy
"I feel lonely and sad",sad
"Why did this happen to me",angry
"The thunder is terrifying",fear
"She surprised me with a party",surprise
"I am neither happy nor sad",neutral
"This is amazing",happy
"I am feeling depressed",sad
"He broke my favorite mug",angry
"I am worried about the exam",fear
"What a wonderful surprise",surprise
"I am doing fine",neutral
"I am thrilled about the news",happy
"I miss my family",sad
"I can't believe he lied",angry
"Walking alone at night is scary",fear
"She won the competition unexpectedly",surprise
"Nothing special today",neutral
"I am overjoyed with my success",happy
"I feel sad and tired",sad
"Why did you shout at me",angry
"The horror movie frightened me",fear
"I didn't expect that outcome",surprise
"I feel neutral about this",neutral
"I am ecstatic",happy
"I am heartbroken",sad
"He is so annoying",angry
"I am nervous about the presentation",fear
"What a shocking turn of events",surprise
"Just another ordinary day",neutral
"I am feeling joyful",happy
"I feel miserable",sad
"Stop yelling at me",angry
"I feel afraid of the dark",fear
"I was not expecting this",surprise
"Everything is normal",neutral
"Feeling great",happy
"I am sad today",sad
"He made me so angry",angry
